Player,Pos,Role,Guard,Wing,Big,Team_Signed_With,Age_At_Signing,Age_At_Start,Age_At_End,Median_Age,Peak_Age_Range,Far_From_Peak,Start,End,Yrs,C_Over,Value,AAV,Type,Max_Contract,Signed_Date,Contract Period,Avg_Salary_Cap,Avg_Luxury_Tax,Avg_1st_Apron,Avg_2nd_Apron,AAV / Salary Cap,AAV / Luxury Tax,AAV / 1st Apron,AAV / 2nd Apron,GP_2Y_Before,GP_1Y_Before,Avg_GP_Before,W_Avg_GP_Before,MPG_2Y_Before,MPG_1Y_Before,Avg_MPG_Before,W_Avg_MPG_Before,W_Avg_Min_Before,USG_2Y_Before,USG_1Y_Before,Avg_USG_Before,W_Avg_USG_Before,EPM_2Y_Before,EPM_1Y_Before,Avg_EPM_Before,W_Avg_EPM_Before,Z-Score_W_Avg_EPM,Age_Adj_EPM_Before,Change_EPM_Before,EPM_1Y_After,EPM_2Y_After,EPM_3Y_After,EPM_4Y_After,EPM_5Y_After,EW_2Y_Before,EW_1Y_Before,Avg_EW_Before,W_Avg_EW_Before,Z-Score_W_Avg_EW,Age_Adj_EW_Before,Change_EW_Before,EW_1Y_After,EW_2Y_After,EW_3Y_After,EW_4Y_After,EW_5Y_After
Derrick Favors,C,3,,,1,UTA,22,23,26,24.5,0,4.5,2014,2017,4,1,"$46,950,000.00","$11,737,500.00",Rookie Extension,0,,2014-2017.0,"$81,575,250.00","$98,530,500.00","$103,030,500.00",,14.39%,11.91%,11.39%,,77,73,75,74,23.2,30.1507,26.67535,28.413025,2102.56385,19.900%,20.742%,20.321%,20.532%,0.1,1.236,0.668,0.952,0.7233965319,1.323396532,1.136,4.06288,3.67325,0.732289,3.16416,,2.3,6.32073,4.310365,5.3155475,0.8265030135,1.426503013,4.02073,10.9662,9.01022,2.99474,9.03171,
Chandler Parsons,SF,2,,1,,DAL,25,26,28,27,1,2,2014,2016,3,1,"$46,084,500.00","$15,361,500.00",Free Agent,0,,2014-2016.0,"$75,736,000.00","$91,618,666.67","$95,618,666.67",,20.28%,16.77%,16.07%,,76,74,75,74.5,36.3,37.5946,36.9473,37.27095,2776.685775,18.100%,19.002%,18.551%,18.776%,1.4,1.44781,1.423905,1.4358575,0.9267685737,1.226768574,0.04781,1.39693,1.31808,-2.44709,,,6.1,8.39457,7.247285,7.8209275,1.595706478,1.895706478,2.29457,6.51915,5.2677,0.232755,,
Larry Sanders,C,3,,,1,MIL,25,26,29,27.5,1,1.5,2014,2017,4,1,"$44,000,000.00","$11,000,000.00",Rookie Extension,0,,2014-2017.0,"$81,575,250.00","$98,530,500.00","$103,030,500.00",,13.48%,11.16%,10.68%,,71,23,47,35,27.3,25.3913,26.34565,25.868475,905.396625,16.900%,16.641%,16.770%,16.705%,2.8,2.00236,2.40118,2.20177,1.248692258,1.548692258,-0.79764,1.34138,,,,,4.7,1.98544,3.34272,2.66408,0.01244766532,0.3124476653,-2.71456,1.72373,,,,
LeBron James,PF,2,,1,,CLE,29,30,30,30,1,1,2014,2014,1,1,"$42,217,798.00","$21,108,899.00",maximum,1,,2014-2014.0,"$63,065,000.00","$76,829,000.00","$80,829,000.00",,33.47%,27.48%,26.12%,,76,77,76.5,76.75,37.9,37.6753,37.78765,37.731475,2895.890706,29.000%,30.021%,29.510%,29.766%,9,5.89015,7.445075,6.6676125,3.125748018,3.025748018,-3.10985,6.21814,,,,,16.4,17.5973,16.99865,17.297975,4.505356022,4.405356022,1.1973,15.6815,,,,
Andrew Bogut,C,3,,,1,GSW,29,30,32,31,1,2,2014,2016,3,1,"$36,000,000.00","$12,000,000.00",Veteran Extension,0,,2014-2016.0,"$75,736,000.00","$91,618,666.67","$95,618,666.67",,15.84%,13.10%,12.55%,,32,67,49.5,58.25,24.5,26.403,25.4515,25.92725,1510.262313,13.700%,12.435%,13.067%,12.751%,0.9,2.97172,1.93586,2.45379,1.354619772,1.254619772,2.07172,4.75186,2.36811,-1.0398,,,0.7,7.18866,3.94433,5.566495,0.9035490849,0.8035490849,6.48866,8.36098,5.29442,0.764218,,
Trevor Ariza,SF,2,,1,,WAS,28,29,32,30.5,1,1.5,2014,2017,4,1,"$32,000,002.00","$8,000,001.00",sign-and-trade,0,,2014-2017.0,"$81,575,250.00","$98,530,500.00","$103,030,500.00",,9.81%,8.12%,7.76%,,56,77,66.5,71.75,26.3,35.3507,30.82535,33.088025,2374.065794,17.100%,17.207%,17.153%,17.180%,0.4,2.05024,1.22512,1.63768,1.01159738,1.01159738,1.65024,1.56105,1.7701,1.45158,-0.00393572,,2,9.33841,5.669205,7.5038075,1.498344081,1.498344081,7.33841,9.06726,9.25724,8.37152,4.58592,
Channing Frye,PF,2.5,,0.5,0.5,ORL,30,31,34,32.5,1,3.5,2014,2017,4,1,"$32,000,000.00","$8,000,000.00",Free Agent,0,,2014-2017.0,"$81,575,250.00","$98,530,500.00","$103,030,500.00",,9.81%,8.12%,7.76%,,0,82,41,61.5,,28.1951,28.1951,28.1951,1733.99865,,17.081%,17.081%,17.081%,,2.39232,2.39232,2.39232,1.328783075,1.128783075,,-1.72442,1.08088,0.73634,-1.21448,,,8.47401,8.47401,8.47401,1.79621631,1.59621631,,1.57197,3.3158,3.53505,0.827256,
Avery Bradley,PG,1,1,,,BOS,23,24,27,25.5,0,3.5,2014,2017,4,1,"$32,000,000.00","$8,000,000.00",Free Agent,0,,2014-2017.0,"$81,575,250.00","$98,530,500.00","$103,030,500.00",,9.81%,8.12%,7.76%,,50,60,55,57.5,28.7,30.9167,29.80835,30.362525,1745.845188,18.800%,23.011%,20.906%,21.958%,-1.8,0.0627142,-0.8686429,-0.40296435,0.1538861566,0.6538861566,1.8627142,-0.813526,1.73989,-0.435871,-0.851582,,0.5,3.83384,2.16692,3.00038,0.1156987192,0.6156987192,3.33384,3.55786,8.15912,3.16407,2.06287,
Dwyane Wade,SG,1,1,,,MIA,32,33,34,33.5,0,4.5,2014,2015,2,1,"$31,125,000.00","$15,562,500.00",Free Agent,0,,2014-2015.0,"$66,532,500.00","$80,784,500.00","$84,784,500.00",,23.39%,19.26%,18.36%,,69,54,61.5,57.75,34.6,32.8519,33.72595,33.288925,1922.435419,28.800%,27.201%,28.000%,27.601%,3.9,1.95819,2.929095,2.4436425,1.350354636,0.950354636,-1.94181,1.47842,0.281423,,,,7.7,5.97523,6.837615,6.4064225,1.161424195,0.761424195,-1.72477,5.98723,5.00485,,,
Boris Diaw,C,3,,,1,SAS,31,32,35,33.5,0,4.5,2014,2017,4,1,"$28,000,000.00","$7,000,000.00",Free Agent,0,,2014-2017.0,"$81,575,250.00","$98,530,500.00","$103,030,500.00",,8.58%,7.10%,6.79%,,75,79,77,78,22.8,24.9873,23.89365,24.440475,1906.35705,11.700%,16.614%,14.157%,15.386%,-0.7,-0.183977,-0.4419885,-0.31298275,0.1917066755,-0.1082933245,0.516023,-1.51354,-1.40672,-3.56459,,,2,3.7458,2.8729,3.30935,0.2105588979,-0.08944110212,1.7458,1.95535,1.46682,-0.540778,,
