Player,Pos,Role,Guard,Wing,Big,Team_Signed_With,Age_At_Signing,Age_At_Start,Age_At_End,Median_Age,Peak_Age_Range,Far_From_Peak,Start,End,Yrs,C_Over,Value,AAV,Type,Max_Contract,Signed_Date,Contract Period,Avg_Salary_Cap,Avg_Luxury_Tax,Avg_1st_Apron,Avg_2nd_Apron,AAV / Salary Cap,AAV / Luxury Tax,AAV / 1st Apron,AAV / 2nd Apron,GP_2Y_Before,GP_1Y_Before,Avg_GP_Before,W_Avg_GP_Before,MPG_2Y_Before,MPG_1Y_Before,Avg_MPG_Before,W_Avg_MPG_Before,W_Avg_Min_Before,USG_2Y_Before,USG_1Y_Before,Avg_USG_Before,W_Avg_USG_Before,EPM_2Y_Before,EPM_1Y_Before,Avg_EPM_Before,W_Avg_EPM_Before,Z-Score_W_Avg_EPM,Age_Adj_EPM_Before,Change_EPM_Before,EPM_1Y_After,EPM_2Y_After,EPM_3Y_After,EPM_4Y_After,EPM_5Y_After,EW_2Y_Before,EW_1Y_Before,Avg_EW_Before,W_Avg_EW_Before,Z-Score_W_Avg_EW,Age_Adj_EW_Before,Change_EW_Before,EW_1Y_After,EW_2Y_After,EW_3Y_After,EW_4Y_After,EW_5Y_After
Metta World Peace,SF,2,,1,,LAL,35,36,36,36,0,7,2015,2015,1,1,"$1,499,187.00","$1,499,187.00",Free Agent,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,2.14%,1.77%,1.69%,,29,,29,29,13.3793,,13.3793,13.3793,387.9997,18.919%,,18.919%,18.919%,-0.709088,,-0.709088,-0.709088,0.02521812576,-0.6747818742,,-2.03127,,,,,0.59672,,0.59672,0.59672,-0.6222746025,-1.322274602,,0.37176,,,,
Rasual Butler,SF,2,,1,,SAS,35,36,36,36,0,7,2015,2015,1,1,"$1,499,187.00","$1,499,187.00",Free Agent,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,2.14%,1.77%,1.69%,,50,75,62.5,68.75,7.56,20.0533,13.80665,16.929975,1163.935781,14.936%,17.284%,16.110%,16.697%,-1.66821,-2.99254,-2.330375,-2.6614575,-0.7953899491,-1.495389949,-1.32433,-1.17663,,,,,0.332572,-0.0439086,0.1443317,0.05021155,-0.790063997,-1.490063997,-0.3764806,0.524955,,,,
Mike Miller,SG,1,1,,,DEN,34,35,35,35,0,6,2015,2015,1,1,"$1,499,187.00","$1,499,187.00",Free Agent,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,2.14%,1.77%,1.69%,,82,52,67,59.5,20.8049,13.4808,17.14285,15.311825,911.0535875,14.004%,8.887%,11.446%,10.167%,-2.6895,-3.48716,-3.08833,-3.287745,-1.058627302,-1.658627302,-0.79766,-2.38689,,,,,0.304946,-0.258371,0.0232875,-0.11754175,-0.8415677288,-1.441567729,-0.563317,0.143999,,,,
Nate Robinson,PG,1,1,,,NOP,30,31,31,31,1,2,2015,2015,1,1,"$1,499,187.00","$1,499,187.00",Free Agent,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,2.14%,1.77%,1.69%,,44,42,43,42.5,19.6818,14.0476,16.8647,15.45615,656.886375,23.833%,22.508%,23.171%,22.839%,1.56393,-1.9441,-0.190085,-1.0670925,-0.1252561485,-0.3252561485,-3.50803,,,,,,2.68188,0.407758,1.544819,0.9762885,-0.5057392244,-0.7057392244,-2.274122,,,,,
Andre Miller,PG,1,1,,,MIN,38,39,39,39,0,10,2015,2015,1,1,"$1,499,187.00","$1,499,187.00",Free Agent,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,2.14%,1.77%,1.69%,,58,81,69.5,75.25,16.9138,15.4691,16.19145,15.830275,1191.228194,14.811%,15.171%,14.991%,15.081%,-0.388479,-1.00364,-0.6960595,-0.84984975,-0.03394599696,-1.033945997,-0.615161,-1.39024,,,,,1.72525,1.67375,1.6995,1.686625,-0.287651231,-1.287651231,-0.0515,0.493446,,,,
Chuck Hayes,PF,2,,1,,HOU,31,32,32,32,1,3,2015,2015,1,1,"$1,446,275.00","$1,446,275.00",Free Agent,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,2.07%,1.71%,1.63%,,61,29,45,37,12.3443,8.7931,10.5687,9.6809,358.1933,9.983%,10.424%,10.203%,10.314%,-1.95952,-1.59888,-1.7792,-1.68904,-0.3866693393,-0.6866693393,0.36064,,,,,,0.511939,0.236667,0.374303,0.305485,-0.7116897695,-1.011689769,-0.275272,,,,,
Jonathon Simmons,SF,1.5,0.5,0.5,,SAS,25,26,27,26.5,1,2.5,2015,2016,2,1,"$1,399,729.00","$699,865.00",Free Agent,0,,2015-2016.0,"$82,071,500.00","$99,013,500.00","$103,013,500.00",,0.85%,0.71%,0.68%,,,,,,,,,,,,,,,,,,,,,,-3.34774,-2.78184,,,,,,,,,,,-0.221769,0.16062,,,
Ronald Roberts,SF,2,,1,,TOR,23,24,25,24.5,0,4.5,2015,2016,2,1,"$1,399,729.00","$699,865.00",Free Agent,0,,2015-2016.0,"$82,071,500.00","$99,013,500.00","$103,013,500.00",,0.85%,0.71%,0.68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristiano Felicio,PF,2,,1,,CHI,22,23,24,23.5,0,5.5,2015,2016,2,1,"$1,399,729.00","$699,865.00",Free Agent,0,,2015-2016.0,"$82,071,500.00","$99,013,500.00","$103,013,500.00",,0.85%,0.71%,0.68%,,,,,,,,,,,,,,,,,,,,,,1.3848,-2.55727,,,,,,,,,,,0.953375,0.280215,,,
Duje Dukan,PF,2,,1,,SAC,23,24,25,24.5,0,4.5,2015,2016,2,1,"$1,399,729.00","$699,865.00",Free Agent,0,,2015-2016.0,"$82,071,500.00","$99,013,500.00","$103,013,500.00",,0.85%,0.71%,0.68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar Patterson,SG,1,1,,,ATL,23,24,25,24.5,0,4.5,2015,2016,2,1,"$1,399,729.00","$699,865.00",Free Agent,0,,2015-2016.0,"$82,071,500.00","$99,013,500.00","$103,013,500.00",,0.85%,0.71%,0.68%,,,,,,,,,,,,,,,,,,,,,,-4.86688,,,,,,,,,,,,-0.519464,,,,
Jonathan Holmes,PF,2,,1,,LAL,22,23,24,23.5,0,5.5,2015,2016,2,1,"$1,399,729.00","$699,865.00",,0,,2015-2016.0,"$82,071,500.00","$99,013,500.00","$103,013,500.00",,0.85%,0.71%,0.68%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damien Wilkins,SG,1,1,,,CHA,34,35,35,35,0,6,2015,2015,1,1,"$1,362,897.00","$1,362,897.00",Free Agent,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.95%,1.61%,1.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerald Green,SG,1,1,,,MIA,28,29,29,29,1,0,2015,2015,1,1,"$1,356,146.00","$1,356,146.00",Free Agent,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.94%,1.60%,1.53%,,82,74,78,76,28.4024,19.5405,23.97145,21.755975,1653.4541,23.216%,27.434%,25.325%,26.379%,0.341391,-1.51587,-0.5872395,-1.05155475,-0.1187254159,-0.1187254159,-1.857261,-1.49089,,,,,5.26041,1.42274,3.341575,2.3821575,-0.07410837162,-0.07410837162,-3.83767,1.55862,,,,
Sasha Vujacic,SG,1,1,,,NYK,30,31,31,31,1,2,2015,2015,1,1,"$1,356,146.00","$1,356,146.00",Free Agent,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.94%,1.60%,1.53%,,,,,,,,,,,,,,,,,,,,,,-0.233539,,,,,,,,,,,,1.69274,,,,
JaVale McGee,C,3,,,1,DAL,26,27,27,27,1,2,2015,2015,1,1,"$1,270,964.00","$1,270,964.00",Free Agent,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.82%,1.50%,1.43%,,5,23,14,18.5,15.8,11.1304,13.4652,12.2978,227.5093,25.134%,18.555%,21.844%,20.200%,-3.63988,-4.68738,-4.16363,-4.425505,-1.536843666,-1.336843666,-1.0475,-3.04571,,,,,-0.0376148,-0.305141,-0.1713779,-0.23825945,-0.8786305589,-0.6786305589,-0.2675262,-0.0242802,,,,
Luc Richard Mbah a Moute,PF,2,,1,,LAC,28,29,29,29,1,0,2015,2015,1,1,"$1,270,964.00","$1,270,964.00",Free Agent,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.82%,1.50%,1.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Smith,C,3,,,1,MIN,23,24,25,24.5,0,4.5,2015,2016,2,1,"$1,270,530.00","$635,265.00",Free Agent,0,,2015-2016.0,"$82,071,500.00","$99,013,500.00","$103,013,500.00",,0.77%,0.64%,0.62%,,11,42,26.5,34.25,9.09091,8.61905,8.85498,8.737015,299.2427638,14.463%,9.729%,12.096%,10.912%,-2.23949,-2.45487,-2.34718,-2.401025,-0.6859265445,-0.1859265445,-0.21538,-5.36794,,,,,0.0488773,0.123247,0.08606215,0.104654575,-0.7733488626,-0.2733488626,0.0743697,-0.318377,,,,
JaKarr Sampson,SF,2,,1,,DEN,21,22,23,22.5,0,6.5,2015,2016,2,1,"$1,238,920.00","$619,460.00",,0,,2015-2016.0,"$82,071,500.00","$99,013,500.00","$103,013,500.00",,0.75%,0.63%,0.60%,,,74,74,74,,15.2838,15.2838,15.2838,1131.0012,,17.460%,17.460%,17.460%,,-3.49413,-3.49413,-3.49413,-1.14537379,-0.4453737903,,-3.54948,,,,,,-0.422287,-0.422287,-0.422287,-0.9351308219,-0.2351308219,,-0.476909,,,,
Tony Wroten Jr.,SG,1,1,,,NYK,21,22,23,22.5,0,6.5,2015,2016,2,1,"$1,218,367.00","$609,184.00",,0,,2015-2016.0,"$82,071,500.00","$99,013,500.00","$103,013,500.00",,0.74%,0.62%,0.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boban Marjanovic,C,3,,,1,SAS,26,27,27,27,1,2,2015,2015,1,1,"$1,200,000.00","$1,200,000.00",Free Agent,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.71%,1.42%,1.35%,,,,,,,,,,,,,,,,,,,,,,2.94641,,,,,,,,,,,,2.05388,,,,
Marcus Thornton,SG,1,1,,,HOU,27,28,28,28,1,1,2015,2015,1,1,"$1,185,784.00","$1,185,784.00",Free Agent,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.69%,1.40%,1.34%,,72,48,60,54,24.1667,15,19.58335,17.291675,933.75045,19.229%,22.762%,20.995%,21.879%,-0.874438,-1.23074,-1.052589,-1.1416645,-0.156599798,-0.05659979799,-0.356302,-0.79643,,,,,2.47831,0.849638,1.663974,1.256806,-0.4196145515,-0.3196145515,-1.628672,1.63702,,,,
Tyler Hansbrough,PF,2,,1,,CHA,29,30,30,30,1,1,2015,2015,1,1,"$1,185,784.00","$1,185,784.00",Free Agent,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.69%,1.40%,1.34%,,64,74,69,71.5,15.2812,14.2838,14.7825,14.53315,1039.120225,14.698%,10.533%,12.616%,11.574%,-2.18282,-0.563042,-1.372931,-0.9679865,-0.08360051726,-0.1836005173,1.619778,-2.89683,,,,,0.514706,1.73174,1.123223,1.4274815,-0.3672136439,-0.4672136439,1.217034,0.0125012,,,,
Toney Douglas,SG,1,1,,,IND,28,29,29,29,1,0,2015,2015,1,1,"$1,185,784.00","$1,185,784.00",Free Agent,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.69%,1.40%,1.34%,,51,12,31.5,21.75,13.2157,14.6667,13.9412,14.30395,311.1109125,16.171%,17.494%,16.832%,17.163%,-2.32754,-1.08782,-1.70768,-1.39775,-0.264236098,-0.264236098,1.23972,0.456974,,,,,0.288106,0.225569,0.2568375,0.24120325,-0.7314255959,-0.7314255959,-0.062537,2.94997,,,,
Chris Copeland,SF,2,,1,,MIL,30,31,31,31,1,2,2015,2015,1,1,"$1,150,000.00","$1,150,000.00",Free Agent,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.64%,1.36%,1.30%,,41,50,45.5,47.75,6.43902,16.54,11.48951,14.014755,669.2045513,22.872%,20.501%,21.686%,21.093%,-0.834106,-3.71181,-2.272958,-2.992384,-0.934482963,-1.134482963,-2.877704,-3.74821,,,,,0.38357,-0.432464,-0.024447,-0.2284555,-0.8756205435,-1.075620544,-0.816034,-0.0853726,,,,
Matthew Dellavedova,PG,1,1,,,CLE,24,25,25,25,0,4,2015,2015,1,1,"$1,147,276.00","$1,147,276.00",Free Agent,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.64%,1.35%,1.29%,,72,67,69.5,68.25,17.6389,20.597,19.11795,19.857475,1355.272669,12.871%,12.508%,12.690%,12.599%,-0.367979,-1.70009,-1.0340345,-1.36706225,-0.2513376095,0.1486623905,-1.332111,0.951162,,,,,2.25111,1.18339,1.71725,1.45032,-0.3602017522,0.03979824783,-1.06772,4.99704,,,,
Ish Smith,PG,1,1,,,WAS,26,27,27,27,1,2,2015,2015,1,1,"$1,100,602.00","$1,100,602.00",Free Agent,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.57%,1.30%,1.24%,,70,55,62.5,58.75,14.3714,15.1091,14.74025,14.924675,876.8246563,15.401%,23.723%,19.562%,21.642%,-1.55486,-3.12103,-2.337945,-2.7294875,-0.8239839049,-0.6239839049,-1.56617,-0.477609,,,,,0.963269,-0.0975321,0.43286845,0.167668175,-0.7540023844,-0.5540023844,-1.0608011,3.797,,,,
Xavier Henry,SG,1,1,,,GSW,23,24,24,24,0,5,2015,2015,1,1,"$1,100,602.00","$1,100,602.00",Free Agent,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.57%,1.30%,1.24%,,43,9,26,17.5,21.1163,9.44444,15.28037,12.362405,216.3420875,22.130%,14.359%,18.245%,16.302%,-1.78264,-4.97733,-3.379985,-4.1786575,-1.433090226,-0.9330902261,-3.19469,,,,,,0.727202,-0.118997,0.3041025,0.09255275,-0.7770643731,-0.2770643731,-0.846199,,,,,
Ryan Hollins,C,3,,,1,WAS,30,31,31,31,1,2,2015,2015,1,1,"$1,082,301.00","$1,082,301.00",Free Agent,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.55%,1.28%,1.22%,,61,46,53.5,49.75,7.88525,9.58696,8.736105,9.1615325,455.7862419,11.172%,13.176%,12.174%,12.675%,0.396244,-2.06144,-0.832598,-1.447019,-0.2849445444,-0.4849445444,-2.457684,-1.68653,,,,,1.10621,0.268864,0.687537,0.4782005,-0.6586625396,-0.8586625396,-0.837346,0.398426,,,,
Lorenzo Brown,PG,1,1,,,DET,24,25,26,25.5,0,3.5,2015,2016,2,1,"$1,021,268.00","$510,634.00",Free Agent,0,,2015-2016.0,"$82,071,500.00","$99,013,500.00","$103,013,500.00",,0.62%,0.52%,0.50%,,26,29,27.5,28.25,8.57692,18.8966,13.73676,16.31668,460.94621,19.530%,13.180%,16.355%,14.767%,-1.79466,-0.907535,-1.3510975,-1.12931625,-0.1514096566,0.2485903434,0.887125,-5.0261,,,,,0.177317,0.76868,0.4729985,0.62083925,-0.614869494,-0.214869494,0.591363,-0.0864936,,,,
Donald Sloan,PG,1,1,,,BKN,26,27,27,27,1,2,2015,2015,1,1,"$1,015,421.00","$1,015,421.00",Free Agent,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.45%,1.20%,1.14%,,48,53,50.5,51.75,8.16667,20.8679,14.517285,17.6925925,915.5916619,17.031%,18.048%,17.539%,17.794%,-4.64786,-1.22931,-2.938585,-2.0839475,-0.552654458,-0.352654458,3.41855,-0.917392,,,,,-0.45683,1.30635,0.42476,0.865555,-0.5397366986,-0.3397366986,1.76318,1.83757,,,,
Jordan McRae,SG,1,1,,,CLE,23,24,25,24.5,0,4.5,2015,2016,2,1,"$985,832.00","$492,916.00",Free Agent,0,,2015-2016.0,"$82,071,500.00","$99,013,500.00","$103,013,500.00",,0.60%,0.50%,0.48%,,,,,,,,,,,,,,,,,,,,,,-1.11639,-4.3607,,,,,,,,,,,0.246447,-0.371147,,,
Pablo Prigioni,PG,1,1,,,LAC,37,38,38,38,0,9,2015,2015,1,1,"$981,348.00","$981,348.00",,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.40%,1.16%,1.11%,,66,67,66.5,66.75,19.4242,17.8507,18.63745,18.244075,1217.792006,9.381%,11.147%,10.264%,10.706%,2.31964,0.841085,1.5803625,1.21072375,0.8321417251,-0.06785827491,-1.478555,-0.871046,,,,,4.63616,3.112,3.87408,3.49304,0.2669555261,-0.6330444739,-1.52416,1.17312,,,,
Jared Cunningham,SG,1,1,,,CLE,23,24,24,24,0,5,2015,2015,1,1,"$981,348.00","$981,348.00",,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.40%,1.16%,1.11%,,13,19,16,17.5,6.15385,4.68421,5.41903,5.05162,88.40335,16.316%,22.660%,19.488%,21.074%,-2.52382,-3.54745,-3.035635,-3.2915425,-1.060223444,-0.5602234444,-1.02363,-4.56732,,,,,0.0234367,-0.0364822,-0.00652275,-0.021502475,-0.8120816856,-0.3120816856,-0.0599189,-0.455315,,,,
Alan Williams,PF,2,,1,,PHX,21,22,23,22.5,0,6.5,2015,2016,2,1,"$958,033.00","$479,017.00",,0,,2015-2016.0,"$82,071,500.00","$99,013,500.00","$103,013,500.00",,0.58%,0.48%,0.47%,,,,,,,,,,,,,,,,,,,,,,-0.666352,0.798236,,,,,,,,,,,0.106759,1.81964,,,
Willie Reed,C,3,,,1,BKN,24,25,25,25,0,4,2015,2015,1,1,"$947,276.00","$947,276.00",,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.35%,1.12%,1.07%,,,,,,,,,,,,,,,,,,,,,,-1.61926,,,,,,,,,,,,0.388511,,,,
Phil Pressey,PG,1,1,,,POR,23,24,24,24,0,5,2015,2015,1,1,"$947,276.00","$947,276.00",,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.35%,1.12%,1.07%,,75,50,62.5,56.25,15.08,12,13.54,12.77,718.3125,14.179%,17.050%,15.615%,16.333%,-0.286849,-1.87959,-1.0832195,-1.48140475,-0.2993973537,0.2006026463,-1.592741,-2.54075,,,,,2.06748,0.440663,1.2540715,0.84736725,-0.545320714,-0.04532071396,-1.626817,0.0795745,,,,
Ian Clark,SG,1,1,,,GSW,23,24,24,24,0,5,2015,2015,1,1,"$947,276.00","$947,276.00",,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.35%,1.12%,1.07%,,23,30,26.5,28.25,7.43478,6.4,6.91739,6.658695,188.1081338,21.066%,15.455%,18.260%,16.857%,-3.55672,-1.74312,-2.64992,-2.19652,-0.5999702466,-0.0999702466,1.8136,-4.92267,,,,,-0.0714191,0.159107,0.04384395,0.101475475,-0.774324912,-0.274324912,0.2305261,-0.782851,,,,
Anthony Bennett,PF,2,,1,,TOR,21,22,22,22,0,7,2015,2015,1,1,"$947,276.00","$947,276.00",,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.35%,1.12%,1.07%,,52,57,54.5,55.75,12.7308,15.6842,14.2075,14.94585,833.2311375,19.413%,17.115%,18.264%,17.689%,-5.28372,-5.86851,-5.576115,-5.7223125,-2.081909908,-1.381909908,-0.58479,-4.45731,,,,,-1.06085,-1.78991,-1.42538,-1.607645,-1.299060238,-0.5990602382,-0.72906,-0.0870782,,,,
Axel Toupane,SG,1,1,,,DEN,22,23,24,23.5,0,5.5,2015,2016,2,1,"$936,412.00","$468,206.00",,0,,2015-2016.0,"$82,071,500.00","$99,013,500.00","$103,013,500.00",,0.57%,0.47%,0.45%,,,,,,,,,,,,,,,,,,,,,,-2.80215,,,,,,,,,,,,0.0309674,,,,
Jimmer Fredette,PG,1,1,,,NOP,25,26,26,26,1,3,2015,2015,1,1,"$931,798.00","$931,798.00",,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.33%,1.10%,1.05%,,49,50,49.5,49.75,10.5714,10.16,10.3657,10.26285,510.5767875,23.987%,18.014%,21.000%,19.507%,-0.850138,-4.07297,-2.461554,-3.267262,-1.050018012,-0.7500180123,-3.222832,,,,,,0.747116,-0.391944,0.177586,-0.107179,-0.8383861503,-0.5383861503,-1.13906,,,,,
Phil Pressey,PG,1,1,,,PHI,23,24,24,24,0,5,2015,2015,1,1,"$897,126.00","$897,126.00",,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.28%,1.06%,1.01%,,75,50,62.5,56.25,15.08,12,13.54,12.77,718.3125,14.179%,17.050%,15.615%,16.333%,-0.286849,-1.87959,-1.0832195,-1.48140475,-0.2993973537,0.2006026463,-1.592741,-2.54075,,,,,2.06748,0.440663,1.2540715,0.84736725,-0.545320714,-0.04532071396,-1.626817,0.0795745,,,,
John Holland,SF,2,,1,,BOS,26,27,28,27.5,1,1.5,2015,2016,2,1,"$883,902.00","$441,951.00",Free Agent,0,,2015-2016.0,"$82,071,500.00","$99,013,500.00","$103,013,500.00",,0.54%,0.45%,0.43%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Hollins,C,3,,,1,MEM,30,31,31,31,1,2,2015,2015,1,1,"$849,806.00","$849,806.00",,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.21%,1.00%,0.96%,,61,46,53.5,49.75,7.88525,9.58696,8.736105,9.1615325,455.7862419,11.172%,13.176%,12.174%,12.675%,0.396244,-2.06144,-0.832598,-1.447019,-0.2849445444,-0.4849445444,-2.457684,-1.68653,,,,,1.10621,0.268864,0.687537,0.4782005,-0.6586625396,-0.8586625396,-0.837346,0.398426,,,,
Marcus Landry,PF,2,,1,,MIL,29,30,30,30,1,1,2015,2015,1,1,"$845,059.00","$845,059.00",,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.21%,1.00%,0.95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cory Jefferson,PF,2,,1,,PHX,24,25,25,25,0,4,2015,2015,1,1,"$845,059.00","$845,059.00",,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.21%,1.00%,0.95%,,,50,50,50,,10.62,10.62,10.62,531,,17.168%,17.168%,17.168%,,-1.79476,-1.79476,-1.79476,-0.4311049267,-0.03110492672,,-2.84554,,,,,,0.420879,0.420879,0.420879,-0.6762614254,-0.2762614254,,0.00358643,,,,
Eric Moreland,PF,2,,1,,SAC,23,24,24,24,0,5,2015,2015,1,1,"$845,059.00","$845,059.00",,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.21%,1.00%,0.95%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Cooley,PF,2,,1,,UTA,23,24,24,24,0,5,2015,2015,1,1,"$845,059.00","$845,059.00",,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.21%,1.00%,0.95%,,,16,16,16,,5.4375,5.4375,5.4375,87,,16.204%,16.204%,16.204%,,-2.20778,-2.20778,-2.20778,-0.6047029813,-0.1047029813,,,,,,,,0.044372,0.044372,0.044372,-0.7918568596,-0.2918568596,,,,,,
Bryce Cotton,PG,1,1,,,PHX,22,23,23,23,0,6,2015,2015,1,1,"$700,902.00","$700,902.00",,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,1.00%,0.83%,0.79%,,,15,15,15,,10.6,10.6,10.6,159,,23.117%,23.117%,23.117%,,-3.40741,-3.40741,-3.40741,-1.108924167,-0.5089241673,,,,,,,,-0.0500153,-0.0500153,-0.0500153,-0.8208357124,-0.2208357124,,,,,,
Wesley Saunders,SF,2,,1,,NYK,21,22,22,22,0,7,2015,2015,1,1,"$525,093.00","$525,093.00",,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,0.75%,0.62%,0.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Griffin,PF,2,,1,,DET,24,25,25,25,0,4,2015,2015,1,1,"$525,093.00","$525,093.00",,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,0.75%,0.62%,0.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Henderson,SG,1,1,,,SAC,24,25,25,25,0,4,2015,2015,1,1,"$525,093.00","$525,093.00",,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,0.75%,0.62%,0.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mirza Begic,C,3,,,1,NOP,29,30,30,30,1,1,2015,2015,1,1,"$525,093.00","$525,093.00",,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,0.75%,0.62%,0.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E.J. Singler,SF,2,,1,,UTA,24,25,25,25,0,4,2015,2015,1,1,"$525,093.00","$525,093.00",,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,0.75%,0.62%,0.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mustapha Farrakhan,SG,1,1,,,OKC,26,27,27,27,1,2,2015,2015,1,1,"$525,093.00","$525,093.00",,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,0.75%,0.62%,0.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tu Holloway,PG,1,1,,,DAL,25,26,26,26,1,3,2015,2015,1,1,"$525,093.00","$525,093.00",,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,0.75%,0.62%,0.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Boatright,PG,1,1,,,DET,22,23,23,23,0,6,2015,2015,1,1,"$525,093.00","$525,093.00",,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,0.75%,0.62%,0.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terran Petteway,SF,2,,1,,IND,22,23,23,23,0,6,2015,2015,1,1,"$525,093.00","$525,093.00",,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,0.75%,0.62%,0.59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson Varejao,PF,2,,1,,GSW,32,33,33,33,1,4,2015,2015,1,1,"$458,575.00","$458,575.00",,0,,2015-2015.0,"$70,000,000.00","$84,740,000.00","$88,740,000.00",,0.66%,0.54%,0.52%,,65,26,45.5,35.75,27.6923,24.4231,26.0577,25.2404,902.3443,14.499%,18.714%,16.606%,17.660%,2.52948,-0.583265,0.9731075,0.19492125,0.4051857959,0.005185795942,-3.112745,-4.77952,,,,,6.76695,1.03183,3.89939,2.46561,-0.04848672853,-0.4484867285,-5.73512,-0.622002,,,,
